fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,acid_balance,sweetness index,complexity index
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,18.06393342150253,0.15217374763723085,5.1739999999999995
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,13.33313131619218,0.18478240784520888,6.502000000000001
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,12.692063614161267,0.2340423042103147,5.649
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,13.199736005279895,0.22340401765530038,5.652
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,22.63098339517381,0.3191485966504291,6.428
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,14.901668594733437,0.27450953479457374,6.289
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,12.41915452976565,0.39999957894781163,6.089
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,24.28513606818885,0.3541662977434399,7.149
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,11.904572943286615,0.5425526143057294,6.051
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,5,13.220114913306556,0.22999977000023,6.297000000000001
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,6,18.71746878285172,0.25531887732034325,5.901999999999999
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,5,21.999450013749655,0.23913017485850563,6.472
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,5,11.159258561470125,0.1935481789804527,6.083
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,7,14.422799561546894,0.19999978947390581,6.036
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,5,9.523679949932655,0.2040814244067098,5.911
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,9.930897504862003,0.4266051132063182,6.267
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,5,9.930897504862003,0.4266051132063182,6.267
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,5,14.422799561546894,0.1562498372397529,6.054
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,5,9.361569339441994,0.14953257053030794,6.023999999999999
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,5,29.061591825255462,0.1869157131628849,7.167
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,6,11.347356775081206,0.18095220861694417,6.635
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,6,12.22202822177426,0.19999978947390581,6.0920000000000005
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,5,11.49236578558529,0.2210523988922117,6.074
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,5,11.159258561470125,0.19999978947390581,6.074
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,5,30.31155276397612,0.26041639539958816,7.005999999999999
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,21.46289114899637,0.20952360997751432,6.868
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,5,21.46289114899637,0.20952360997751432,6.868
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,6,8.66231003426708,0.22429885579546188,6.095
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,5,8.93321422381035,0.19801960592118226,5.866
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,5,13.77747161174196,0.17391285444254956,5.408
7.8,0.43,0.7,1.9,0.4639999999999999,22.0,67.0,0.9974,3.13,1.28,9.4,5,18.1391130438827,0.20212744454527176,6.324
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,5,14.799704005919883,0.21977997826376017,5.861000000000001
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,10.89535977074969,0.19148915799025745,6.082
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,6,20.999300023332555,0.17475711188629914,5.844
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,5,12.545226450428174,0.2178215665133005,5.9670000000000005
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,17.550662231383033,0.1919189980616181,6.995000000000001
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,15.713965021122018,0.19791646050368697,6.152
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,23.84554242198918,0.2210523988922117,6.936
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,5,11.290140481605137,0.19999977777802472,5.659
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,5,15.19201553816273,0.19999978947390581,6.172000000000001
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,17.550662231383033,0.1919189980616181,6.995000000000001
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,17.550662231383033,0.2040814244067098,6.974
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,5,15.713965021122018,0.19791646050368697,6.152
4.7,0.6,0.17,2.3,0.0579999999999999,17.0,106.0,0.9932,3.85,0.6,12.9,6,7.833202779953669,0.1782944354306702,5.93
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,5,8.774080334447298,0.28037356974432737,6.098
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,5,13.999720005599888,0.21739106805318692,5.7490000000000006
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,5,8.444350618326462,0.2551017805083872,6.148
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,14.862112621786755,0.2111108765434705,6.117
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,6,13.60633432238816,0.20588215109593033,6.563
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,6,15.599688006239877,0.18269213202679613,6.408
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,6,14.862112621786755,0.2111108765434705,6.117
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,14.08671153545156,0.22826062145584627,6.1530000000000005
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,5,14.69357768208812,0.2340423042103147,5.844
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,5,14.08671153545156,0.22826062145584627,6.1530000000000005
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,19.023926245701325,0.18279550237042755,6.303
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,5,9.841113633116935,0.18279550237042755,5.507000000000001
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,6,24.241689645768307,0.26041639539958816,6.32
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,10.318339893759315,0.215053532200503,6.237
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,13.928322708523062,0.1894734847647529,6.2490000000000006
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,5,13.548168577926164,0.22448956684738078,6.498
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,5,13.999766670555493,0.22448956684738078,6.498
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,6,32.5795942066385,0.23711315761530144,7.151
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,5,13.928322708523062,0.1894734847647529,6.2490000000000006
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,6,23.499412514687133,0.20952360997751432,7.099
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,6,15.37008573915298,0.18999981000019,6.503
7.8,0.56,0.12,2.0,0.0819999999999999,7.0,28.0,0.997,3.37,0.5,9.4,6,13.928322708523062,0.21276573110028607,6.09
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,15.999709096198252,0.2018346772158925,6.970000000000001
7.0,0.69,0.08,1.8,0.0969999999999999,22.0,89.0,0.9959,3.34,0.54,9.2,6,10.144780510427386,0.19565196124786824,5.7219999999999995
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,6.822366146110783,0.1888886790125789,5.7909999999999995
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,6,15.999709096198252,0.2018346772158925,6.970000000000001
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,5,10.503445993582828,0.27173883506648366,5.836
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,5,11.267446937367081,0.2736839224379764,6.209
7.8,0.5,0.17,1.6,0.0819999999999999,21.0,102.0,0.996,3.39,0.48,9.5,5,15.599688006239877,0.168420875346447,6.114000000000001
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,5,14.51589490492089,0.20212744454527176,6.63
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,6.165367177690392,0.155963159666826,6.696999999999999
8.1,1.33,0.0,1.8,0.0819999999999999,3.0,12.0,0.9964,3.54,0.48,10.9,5,6.090179773084412,0.1651374631766393,6.654
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,7,13.559092218775955,0.1714284081634208,6.6259999999999994
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,5,16.052209152390724,0.19148915799025745,5.430999999999999
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,5,10.738110897840299,0.21276573110028607,6.218
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,11.199776004479912,0.17692294082850704,6.329
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,5,11.199776004479912,0.17692294082850704,6.329
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,6,13.199736005279895,0.15306106830503233,5.754
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,6,7.596080806915317,0.22222199775555784,6.295
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,11.275016442732314,0.19791646050368697,6.486000000000001
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,11.60822925553489,0.1894734847647529,6.401
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,5,17.348979542661624,0.21739106805318692,5.832000000000001
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,5,13.928322708523062,0.2210523988922117,6.132
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,5,13.928322708523062,0.21052609418305876,6.132
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,5,11.275016442732314,0.19791646050368697,6.486000000000001
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,5,11.60822925553489,0.1894734847647529,6.401
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,15.29366783329902,0.12857133673475948,6.517
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,5,16.15343196328299,0.18085087143524314,5.513999999999999
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,15.29366783329902,0.12857133673475948,6.517
8.1,0.67,0.55,1.8,0.1169999999999999,32.0,141.0,0.9968,3.17,0.62,9.4,5,12.089371800420889,0.19148915799025745,6.246
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,5,8.5292863340245,0.17999982000018,5.476
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,15.509887553315238,0.17204282576040242,6.07
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,6,14.081345278667783,0.22548997500982843,5.994
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,6,20.499487512812177,0.26666641269865454,6.6129999999999995
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,6,22.12054180176358,0.20388329720068232,6.1690000000000005
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,12.499791670138832,0.17821764532906406,6.192
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,5,12.499791670138832,0.17821764532906406,6.192
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,16.511243924559892,0.5238090249437858,6.2059999999999995
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,16.511243924559892,0.5238090249437858,6.202999999999999
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,5,16.511243924559892,0.5238090249437858,6.2059999999999995
7.1,0.43,0.42,5.5,0.071,28.0,128.0,0.9973,3.42,0.71,10.5,5,16.511243924559892,0.5238090249437858,6.202999999999999
7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5,9.3,5,10.441022926133439,0.2365588854205533,5.779999999999999
6.8,0.6,0.18,1.9,0.079,18.0,86.0,0.9968,3.59,0.57,9.3,6,11.333144447592542,0.20430085559047784,5.681
7.6,0.95,0.03,2.0,0.09,7.0,20.0,0.9959,3.2,0.56,9.6,5,7.9999157903601015,0.20833311631967052,6.088
7.8,0.53,0.04,1.7,0.076,17.0,31.0,0.9964,3.33,0.56,10.0,6,14.716703458425313,0.16999983000017,6.288
7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,12.333127781203649,0.7765949185160441,5.927
7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,12.372671649633059,0.7659566319610298,5.887
7.8,0.63,0.48,1.7,0.1,14.0,96.0,0.9961,3.19,0.62,9.5,5,12.380755861018079,0.17894718005559995,6.156000000000001
6.8,0.64,0.1,2.1,0.085,18.0,101.0,0.9956,3.34,0.52,10.2,5,10.624833986968953,0.20588215109593033,5.936
6.8,0.63,0.07,2.1,0.089,11.0,44.0,0.9953,3.47,0.55,10.4,6,10.793479468579864,0.2019228827664589,6.005000000000001
7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5,10.63814697663863,0.1894734847647529,6.327
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,19.047165543677533,0.21739106805318692,6.143
8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61,9.2,6,19.047165543677533,0.21739106805318692,6.143
7.4,0.62,0.05,1.9,0.068,24.0,42.0,0.9961,3.42,0.57,11.5,6,11.935291366268288,0.16521724763717596,6.5809999999999995
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,19.210020788926606,0.21052609418305876,5.911
6.9,0.5,0.04,1.5,0.085,19.0,49.0,0.9958,3.35,0.78,9.5,5,13.799724005519892,0.15789457063729406,5.844
7.3,0.38,0.21,2.0,0.08,7.0,35.0,0.9961,3.33,0.47,9.5,5,19.210020788926606,0.21052609418305876,5.911
7.5,0.52,0.42,2.3,0.087,8.0,38.0,0.9972,3.58,0.61,10.5,6,14.422799561546894,0.21904741043103768,6.333
7.0,0.805,0.0,2.5,0.068,7.0,20.0,0.9969,3.48,0.56,9.6,5,8.695544154730998,0.26041639539958816,5.848000000000001
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,14.42599301650793,0.2526313130196705,6.547000000000001
8.8,0.61,0.14,2.4,0.067,10.0,42.0,0.9969,3.19,0.59,9.5,5,14.42599301650793,0.2526313130196705,6.547000000000001
8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,5,14.589924755331882,0.215053532200503,6.656000000000001
7.2,0.73,0.02,2.5,0.076,16.0,42.0,0.9972,3.44,0.52,9.3,5,9.862878590704238,0.26881691525062873,5.8260000000000005
6.8,0.61,0.2,1.8,0.077,11.0,65.0,0.9971,3.54,0.58,9.3,5,11.147358240028852,0.1935481789804527,5.684
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,6,10.806277318107774,0.20430085559047784,5.644
8.9,0.31,0.57,2.0,0.111,26.0,85.0,0.9971,3.26,0.53,9.7,5,28.70875133060224,0.20618535444808822,6.629
7.4,0.39,0.48,2.0,0.0819999999999999,14.0,67.0,0.9972,3.34,0.55,9.2,5,18.973872464808593,0.21739106805318692,5.885
7.7,0.705,0.1,2.6,0.084,9.0,26.0,0.9976,3.39,0.49,9.7,5,10.921830896015662,0.2680409607825147,6.137
7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55,9.5,5,15.799684006319875,0.21052609418305876,6.175000000000001
7.9,0.49,0.32,1.9,0.0819999999999999,17.0,144.0,0.9968,3.2,0.55,9.5,5,16.122119956735578,0.19999978947390581,6.175000000000001
8.2,0.5,0.35,2.9,0.077,21.0,127.0,0.9976,3.23,0.62,9.4,5,16.399672006559868,0.3085103100954148,6.286
6.4,0.37,0.25,1.9,0.074,21.0,49.0,0.9974,3.57,0.62,9.8,6,17.296829815410394,0.19387735318637428,5.686
6.8,0.63,0.12,3.8,0.099,16.0,126.0,0.9969,3.28,0.61,9.5,5,10.793479468579864,0.39999957894781163,5.753
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,13.817930583080306,0.22680388989289707,6.115
7.6,0.55,0.21,2.2,0.071,7.0,28.0,0.9964,3.28,0.55,9.7,5,13.817930583080306,0.22680388989289707,6.115
7.8,0.59,0.33,2.0,0.074,24.0,120.0,0.9968,3.25,0.54,9.4,5,13.220114913306556,0.21276573110028607,6.102
7.3,0.58,0.3,2.4,0.074,15.0,55.0,0.9968,3.46,0.59,10.2,5,12.58598989672592,0.2352938869667775,6.157
11.5,0.3,0.6,2.0,0.067,12.0,27.0,0.9981,3.11,0.97,10.1,6,38.33205559814673,0.19801960592118226,7.921000000000001
5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85,13.0,7,6.466988419300368,0.09230762130182976,6.3149999999999995
9.6,0.32,0.47,1.4,0.0559999999999999,9.0,24.0,0.99695,3.22,0.82,10.3,7,29.99906252929596,0.1359221981337882,7.176
8.8,0.37,0.48,2.1,0.0969999999999999,39.0,145.0,0.9975,3.04,1.03,9.3,5,23.783140996189292,0.22580620881052815,6.619000000000001
6.8,0.5,0.11,1.5,0.075,16.0,49.0,0.99545,3.36,0.79,9.5,5,13.599728005439893,0.15789457063729406,5.807
7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55,9.2,5,16.66626985071784,0.17391285444254956,5.725
7.0,0.43,0.36,1.6,0.089,14.0,37.0,0.99615,3.34,0.56,9.2,6,16.278691193228063,0.17391285444254956,5.728
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,42.665244491850274,0.24074051783285386,8.591000000000001
12.8,0.3,0.74,2.6,0.095,9.0,28.0,0.9994,3.2,0.77,10.8,7,42.665244491850274,0.24074051783285386,8.591000000000001
7.8,0.57,0.31,1.8,0.069,26.0,120.0,0.99625,3.29,0.53,9.3,5,13.683970456658656,0.1935481789804527,6.069
7.8,0.44,0.28,2.7,0.1,18.0,95.0,0.9966,3.22,0.67,9.4,5,17.726869843867185,0.2872337369853862,6.141
11.0,0.3,0.58,2.1,0.054,7.0,19.0,0.998,3.31,0.88,10.5,7,36.665444485183826,0.19999980952399093,7.814
